Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
420,Light Emitting Diode (Led) Equipment for Use In Lighting Products,Ed. 1,ULC,"August 01, 2011",,True,,Light Emitting Diode (Led) Equipment for Use In Lighting Products,Light Emitting Diode,Emitting Diode,Equipment for Use In Lighting,Lighting Products,Light Emitting
427,Standard for Refrigerating Units,Ed. 5,UL,"November 11, 2011",ulstd,True,Standard,Refrigerating Units,Refrigerating Units,Units,Refrigerating,,
428A,Electrically Operated Valves for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 2,UL,"June 07, 2022",ulstd,True,,Electrically Operated Valves for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Electrically Operated Valves for Gasoline,Electrically Operated Valves,Blends With Nominal Ethanol
428B,"Standard for Electrically Operated Valves for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"June 05, 2015",ulstd,True,Standard,"Electrically Operated Valves for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Electrically Operated Valves for Diesel,Operated Valves for Diesel Fuel,Electrically Operated Valves
428B,"Electrically Operated Valves for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 2,UL,"August 22, 2022",ulstd,True,,"Electrically Operated Valves for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Electrically Operated Valves for Diesel,Operated Valves for Diesel Fuel,Electrically Operated Valves
429,Standard for Electrically Operated Valves,Ed. 7,UL,"November 06, 2013",ulstd,True,Standard,Electrically Operated Valves,Electrically Operated Valves,Operated Valves,Electrically Operated,Valves,Operated
429A,Outline of Investigation for Electrically Operated Valves for Fire Protection Service,Ed. 4,UL,"March 30, 2021",outline,True,Outline,Investigation for Electrically Operated Valves for Fire Protection Service,Valves for Fire Protection Service,Electrically Operated Valves for Fire,Operated Valves for Fire Protection,Investigation for Electrically Operated Valves,Fire Protection Service
430,Standard for Waste Disposers,Ed. 8,UL,"September 08, 2015",ulstd,True,Standard,Waste Disposers,Waste Disposers,Disposers,Waste,,
437,Standard for Key Locks,Ed. 8,UL,"May 15, 2013",ulstd,True,Standard,Key Locks,Key Locks,Locks,Key,,
441,Standard for Gas Vents,Ed. 11,UL,"April 08, 2016",ulstd,True,Standard,Gas Vents,Gas Vents,Vents,Gas,,
441,Pellet Vents,Ed. 2,ULC,"April 01, 1992",,True,,Pellet Vents,Pellet Vents,Vents,Pellet,,
441.3,Gas Vent Connectors,Ed. 1,ULC,"September 01, 2004",,True,,Gas Vent Connectors,Gas Vent Connectors,Vent Connectors,Gas Vent,Connectors,Vent
443,Standard for Steel Auxiliary Tanks for Oil-Burner Fuel,Ed. 6,UL,"October 25, 2006",ulstd,True,Standard,Steel Auxiliary Tanks for Oil-Burner Fuel,Auxiliary Tanks for Oil-Burner Fuel,Steel Auxiliary Tanks for Oil-Burner,Steel Auxiliary Tanks,Tanks for Oil-Burner Fuel,Auxiliary Tanks for Oil-Burner
444,Communications Cables,Ed. 5,UL,"January 20, 2017",ulcsa,True,,Communications Cables,Communications Cables,Cables,Communications,,
PROY- NMX-S-448-UL-2021,Seguridad Contra Incendio – Bombas Centrífugas Estacionarias Para Servicio De Protección Contra Incendios – Especificaciones.,Ed. 1,NMX,"November 26, 2021",nmx,False,,Seguridad Contra Incendio – Bombas Centrífugas Estacionarias Para Servicio De Protección Contra Incendios – Especificaciones.,Bombas Centrífugas Estacionarias Para Servicio,Servicio De Protección Contra Incendios,Bombas Centrífugas Estacionarias Para,Centrífugas Estacionarias Para Servicio,Estacionarias Para Servicio De Protección
448,Centrifugal Stationary Pumps for Fire-Protection Service / Pompes Centrifuges Stationnaires Pour Le Service De Protection Contre Les Incendies,Ed. 12,UL,"March 30, 2020",ulstd,True,,Centrifugal Stationary Pumps for Fire-Protection Service / Pompes Centrifuges Stationnaires Pour Le Service De Protection Contre Les Incendies,Protection Contre Les Incendies,Pompes Centrifuges Stationnaires Pour,Centrifugal Stationary Pumps for Fire-Protection,Stationary Pumps for Fire-Protection Service,Centrifuges Stationnaires Pour Le Service
448,Guide for The Investigation of Pumps for Fire Protection Service,Ed. 1,ULC,"March 01, 1979",,True,Guide,The Investigation of Pumps for Fire Protection Service,Pumps for Fire Protection Service,Fire Protection Service,Investigation of Pumps for Fire,Pumps for Fire Protection,Protection Service
448A,Flexible Couplings And Connecting Shafts for Stationary Fire Pumps,Ed. 2,UL,"November 29, 2022",ulstd,True,,Flexible Couplings And Connecting Shafts for Stationary Fire Pumps,Shafts for Stationary Fire Pumps,Connecting Shafts for Stationary Fire,Flexible Couplings And Connecting Shafts,Stationary Fire Pumps,Couplings And Connecting Shafts
448B,Residential Fire Pumps Intended for One- And Two-Family Dwellings And Manufactured Homes,Ed. 2,UL,"January 04, 2023",ulstd,True,,Residential Fire Pumps Intended for One- And Two-Family Dwellings And Manufactured Homes,Residential Fire Pumps Intended,Two-Family Dwellings And Manufactured Homes,Dwellings And Manufactured Homes,Fire Pumps Intended,Residential Fire Pumps
448C,"Stationary, Rotary-Type, Positive-Displacement Pumps for Fire-Protection Service",Ed. 2,UL,"January 04, 2023",ulstd,True,,"Stationary, Rotary-Type, Positive-Displacement Pumps for Fire-Protection Service",Positive-Displacement Pumps for Fire-Protection Service,Pumps for Fire-Protection Service,Positive-Displacement Pumps for Fire-Protection,Positive-Displacement Pumps,Fire-Protection Service
448D,"Outline of Investigation for Fire Pump, Driver And Controller Assembly Rating Compatibility",Ed. 2,UL,"September 27, 2017",outline,True,Outline,"Investigation for Fire Pump, Driver And Controller Assembly Rating Compatibility",Driver And Controller Assembly Rating,Controller Assembly Rating Compatibility,Driver And Controller Assembly,Assembly Rating Compatibility,Investigation for Fire Pump
452,Standard for Antenna - Discharge Units,Ed. 7,UL,"November 02, 2006",ulstd,True,Standard,Antenna - Discharge Units,Discharge Units,Antenna,Discharge,Units,
458,Standard for Power Converters/Inverters And Power Converter/Inverter Systems for Land Vehicles And Marine Crafts,Ed. 6,UL,"September 02, 2015",ulstd,True,Standard,Power Converters/Inverters And Power Converter/Inverter Systems for Land Vehicles And Marine Crafts,Land Vehicles And Marine Crafts,Inverter Systems for Land Vehicles,Vehicles And Marine Crafts,Inverter Systems for Land,Systems for Land Vehicles
458A,Outline of Investigation for Power Converters/Inverters for Electric Land Vehicles,Ed. 3,UL,"May 06, 2016",outline,True,Outline,Investigation for Power Converters/Inverters for Electric Land Vehicles,Inverters for Electric Land Vehicles,Inverters for Electric Land,Electric Land Vehicles,Investigation for Power Converters,Power Converters
462,"Standard for Heat Reclaimers for Gas-, Oil-, Or Solid Fuel-Fired Appliances",Ed. 3,UL,"December 13, 2010",ulstd,True,Standard,"Heat Reclaimers for Gas-, Oil-, Or Solid Fuel-Fired Appliances",Heat Reclaimers for Gas,Solid Fuel-Fired Appliances,Reclaimers for Gas,Heat Reclaimers,Fuel-Fired Appliances
464,"Audible Signaling Devices for Fire Alarm And Signaling Systems, Including Accessories",Ed. 10,UL,"January 28, 2016",ululc,True,,"Audible Signaling Devices for Fire Alarm And Signaling Systems, Including Accessories",Signaling Devices for Fire Alarm,Audible Signaling Devices for Fire,Fire Alarm And Signaling Systems,Devices for Fire Alarm,Signaling Devices for Fire
464,"Audible Signaling Devices for Fire Alarm And Signaling Systems, Including Accessories",Ed. 11,UL,"April 28, 2023",ululc,True,,"Audible Signaling Devices for Fire Alarm And Signaling Systems, Including Accessories",Signaling Devices for Fire Alarm,Audible Signaling Devices for Fire,Fire Alarm And Signaling Systems,Devices for Fire Alarm,Signaling Devices for Fire
464A,Audible Signal Appliances for General Signaling Use,Ed. 1,UL,"February 03, 2016",ulstd,True,,Audible Signal Appliances for General Signaling Use,Signal Appliances for General Signaling,Audible Signal Appliances for General,Signal Appliances for General,Appliances for General Signaling,Audible Signal Appliances
467,Grounding And Bonding Equipment,Ed. 11,UL,"April 29, 2022",ulcsance,True,,Grounding And Bonding Equipment,Grounding And Bonding Equipment,Bonding Equipment,Grounding And Bonding,Equipment,Bonding
469,Standard for Musical Instruments And Accessories,Ed. 4,UL,"November 03, 2006",ulstd,True,Standard,Musical Instruments And Accessories,Musical Instruments And Accessories,Instruments And Accessories,Musical Instruments,Accessories,Instruments
471,Standard for Commercial Refrigerators And Freezers,Ed. 10,UL,"November 24, 2010",ulstd,True,Standard,Commercial Refrigerators And Freezers,Commercial Refrigerators And Freezers,Refrigerators And Freezers,Commercial Refrigerators,Freezers,Refrigerators
482,Standard for Portable Sun/Heat Lamps,Ed. 9,UL,"September 02, 2005",ulstd,True,Standard,Portable Sun/Heat Lamps,Heat Lamps,Portable Sun,Sun,Heat,Lamps
484,Standard for Room Air Conditioners,Ed. 9,UL,"February 07, 2014",ulstd,True,Standard,Room Air Conditioners,Room Air Conditioners,Air Conditioners,Room Air,Conditioners,Air
486A- 486B,Wire Connectors,Ed. 3,UL,"April 27, 2018",ulcsance,True,,Wire Connectors,Wire Connectors,Connectors,Wire,,
486C,Splicing Wire Connectors,Ed. 7,UL,"January 26, 2018",ulcsance,True,,Splicing Wire Connectors,Splicing Wire Connectors,Wire Connectors,Splicing Wire,Connectors,Wire
486D,Sealed Wire Connector Systems,Ed. 6,UL,"June 19, 2015",ulcsance,True,,Sealed Wire Connector Systems,Sealed Wire Connector Systems,Wire Connector Systems,Sealed Wire Connector,Connector Systems,Wire Connector
486E,Standard for Equipment Wiring Terminals for Use With Aluminum And/Or Copper Conductors,Ed. 5,UL,"September 30, 2015",ulstd,True,Standard,Equipment Wiring Terminals for Use With Aluminum And/Or Copper Conductors,Equipment Wiring Terminals,Copper Conductors,Wiring Terminals,Terminals for Use With Aluminum,Equipment Wiring
486F,Standard for Bare And Covered Ferrules,Ed. 2,UL,"September 09, 2019",ulcsa,True,Standard,Bare And Covered Ferrules,Bare And Covered Ferrules,Covered Ferrules,Bare And Covered,Ferrules,Covered
486G,Sealed Twist-On Connecting Devices,Ed. 1,UL,"January 26, 2018",ulcsance,True,,Sealed Twist-On Connecting Devices,Sealed Twist-On Connecting Devices,Twist-On Connecting Devices,Sealed Twist-On Connecting,Connecting Devices,Twist-On Connecting
486L,Standard for Large Ferrules,Ed. 1,UL,"March 25, 2022",ulcsa,True,Standard,Large Ferrules,Large Ferrules,Ferrules,Large,,
488,Remote Burglar Alarm Signalling Centres,Ed. 1,ULC,"September 01, 2004",,True,,Remote Burglar Alarm Signalling Centres,Remote Burglar Alarm Signalling Centres,Burglar Alarm Signalling Centres,Remote Burglar Alarm Signalling,Alarm Signalling Centres,Burglar Alarm Signalling
489,"Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures",Ed. 13,UL,"October 24, 2016",ulcsance,True,,"Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures",Molded-Case Circuit Breakers,Circuit Breakers,Molded-Case Switches,Circuit-Breaker Enclosures,Molded-Case Circuit
489A,Circuit Breakers for Use In Communications Equipment,Ed. 1,UL,"October 15, 2008",ulstd,True,,Circuit Breakers for Use In Communications Equipment,Communications Equipment,Breakers for Use In Communications,Circuit Breakers,Equipment,Breakers
489B,"Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures for Use With Photovoltaic (Pv) Systems",Ed. 1,UL,"March 07, 2016",ulcsa,True,,"Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures for Use With Photovoltaic (Pv) Systems",Molded-Case Circuit Breakers,Circuit Breakers,Enclosures for Use With Photovoltaic,Molded-Case Switches,Molded-Case Circuit
489C,Molded-Case Circuit Breakers And Molded-Case Switches for Use With Wind Turbines,Ed. 1,UL,"April 06, 2012",outline,True,,Molded-Case Circuit Breakers And Molded-Case Switches for Use With Wind Turbines,Circuit Breakers And Molded-Case Switches,Molded-Case Circuit Breakers And Molded-Case,Molded-Case Circuit Breakers,Circuit Breakers And Molded-Case,Breakers And Molded-Case Switches
489D,"Outline of Investigation for Us Naval Commercial-Off-The-Shelf (Cots) Designated Molded-Case Circuit Breakers, Molded-Case Switches, And Accessories for Use On Non Nuclear Naval Combatant Ships",Ed. 2,UL,"December 01, 2022",outline,True,Outline,"Investigation for Us Naval Commercial-Off-The-Shelf (Cots) Designated Molded-Case Circuit Breakers, Molded-Case Switches, And Accessories for Use On Non Nuclear Naval Combatant Ships",Nuclear Naval Combatant Ships,Designated Molded-Case Circuit Breakers,Naval Combatant Ships,Nuclear Naval Combatant,Designated Molded-Case Circuit
489H,"Outline of Investigation for Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures, for Use With Direct Current (Dc) Microgrids",Ed. 1,UL,"November 14, 2017",outline,True,Outline,"Investigation for Molded-Case Circuit Breakers, Molded-Case Switches, And Circuit-Breaker Enclosures, for Use With Direct Current (Dc) Microgrids",Investigation for Molded-Case Circuit Breakers,Molded-Case Circuit Breakers,Circuit Breakers,Direct Current,Investigation for Molded-Case Circuit
489I,Outline of Investigation for Solid State Molded-Case Circuit Breakers,Ed. 2,UL,"March 14, 2022",outline,True,Outline,Investigation for Solid State Molded-Case Circuit Breakers,Solid State Molded-Case Circuit Breakers,State Molded-Case Circuit Breakers,Solid State Molded-Case Circuit,Investigation for Solid State Molded-Case,Investigation for Solid State
491,Subject for Press Controls And Systems,Ed. 1,UL,"May 12, 2000",,True,,Subject for Press Controls And Systems,Press Controls And Systems,Subject for Press Controls,Controls And Systems,Press Controls,Subject for Press
493,Standard for Thermoplastic-Insulated Underground Feeder And Branch-Circuit Cables,Ed. 10,UL,"December 10, 2018",ulstd,True,Standard,Thermoplastic-Insulated Underground Feeder And Branch-Circuit Cables,Underground Feeder And Branch-Circuit Cables,Thermoplastic-Insulated Underground Feeder And Branch-Circuit,Thermoplastic-Insulated Underground Feeder,Feeder And Branch-Circuit Cables,Underground Feeder And Branch-Circuit
495,Power-Operated Lp-Gas Dispensing Equipment,Ed. 5,UL,"December 14, 2022",ulcsa,True,,Power-Operated Lp-Gas Dispensing Equipment,Power-Operated Lp-Gas Dispensing Equipment,Lp-Gas Dispensing Equipment,Power-Operated Lp-Gas Dispensing,Dispensing Equipment,Lp-Gas Dispensing
496,Lampholders,Ed. 14,UL,"September 05, 2017",ulcsa,True,,Lampholders,Lampholders,,,,
497,Standard for Protectors for Paired-Conductor Communications Circuits,Ed. 7,UL,"April 25, 2001",ulstd,True,Standard,Protectors for Paired-Conductor Communications Circuits,Protectors for Paired-Conductor Communications Circuits,Paired-Conductor Communications Circuits,Protectors for Paired-Conductor Communications,Communications Circuits,Paired-Conductor Communications
